,Player,FGM,FGA,FG%,FTM,FTA,FT%,3PTM,3PTA,3PT%,PTS,DREB,OREB,REB,AST,ST,BLK,TO,zFGM,zFGA,zFG%,zFTM,zFTA,zFT%,z3PTM,z3PTA,z3PT%,zPTS,zDREB,zOREB,zREB,zAST,zST,zBLK,zTO,zTotal,is_g,is_pg,is_sg,is_f,is_sf,is_pf,is_c,is_util,num_elig_positions,rand_team,cat_win,cat_loss,matchup_win,matchup_loss,cat_perc,matchup_perc
262,T.J. Warren,7.541,14.246,0.529,2.475,3.049,0.812,1.131,3.016,0.375,18.689,2.967,1.0,3.967,1.426,1.148,0.443,1.262,1.374,0.948,1.702,0.278,0.223,0.35200000000000004,-0.285,-0.35200000000000004,0.275,0.996,-0.467,-0.083,-0.37,-0.708,0.8109999999999999,-0.165,0.35700000000000004,0.287,0,0,0,1,1,1,0,1,4,0,20195.0,25402.0,5799.0,7226.0,0.4429019453034191,0.4452207293666027
275,Trae Young,9.1,20.817,0.4370000000000001,8.017000000000001,9.317,0.86,3.417,9.467,0.361,29.63300000000001,3.717,0.5329999999999999,4.25,9.333,1.083,0.133,4.817,2.111,2.435,-0.846,3.873,3.544,2.604,2.28,2.44,0.024,2.818,-0.058,-0.648,-0.257,3.423,0.634,-0.833,-3.932,1.154,1,1,0,0,0,0,0,1,3,0,18077.0,22879.0,5165.0,6505.0,0.4413761109483348,0.4425878320479863
241,Ricky Rubio,4.421,10.719,0.412,3.053,3.579,0.853,1.158,3.298,0.35100000000000003,13.053,3.912,0.737,4.649,8.895,1.544,0.158,2.719,-0.102,0.15,-0.8859999999999999,0.653,0.503,0.912,-0.255,-0.23,-0.125,0.058,0.049,-0.401,-0.097,3.194,1.906,-0.78,-1.401,0.185,1,1,0,0,0,0,0,1,3,0,17546.0,22246.0,5003.0,6292.0,0.4409429030960997,0.4429393536963258
271,Tobias Harris,7.6,16.092,0.472,2.369,2.938,0.8059999999999999,1.8,4.9689999999999985,0.362,19.369,5.938,0.831,6.769,3.154,0.754,0.5379999999999999,1.492,1.402,1.366,0.329,0.209,0.16399999999999998,0.284,0.466,0.493,0.076,1.109,1.155,-0.28800000000000003,0.753,0.194,-0.277,0.042,0.079,0.445,0,0,0,1,1,1,0,1,4,0,20028.0,25430.0,5744.0,7266.0,0.44058251572880464,0.4415065334358186
242,Robert Covington,4.516,10.452,0.4320000000000001,1.3869999999999998,1.742,0.7959999999999999,2.387,6.839,0.349,12.806,5.532,0.871,6.403,1.194,1.5319999999999998,1.29,1.5,-0.057,0.09,-0.508,-0.428,-0.47,0.112,1.124,1.3019999999999998,-0.397,0.017,0.933,-0.239,0.606,-0.83,1.874,1.665,0.07,0.28600000000000003,0,0,0,1,1,1,1,1,5,0,29508.0,37676.0,8450.0,10805.0,0.43921171707549417,0.4388470527135809
290,Zach LaVine,8.982999999999997,19.983,0.45,4.467,5.567,0.802,3.067,8.067,0.38,25.5,4.133,0.6829999999999999,4.817,4.2330000000000005,1.467,0.467,3.4330000000000003,2.056,2.247,-0.383,1.57,1.557,0.459,1.887,1.834,0.856,2.13,0.16899999999999998,-0.466,-0.03,0.758,1.693,-0.113,-2.263,0.821,1,1,1,1,1,0,0,1,6,0,25544.0,33237.0,7342.0,9478.0,0.4345621884622582,0.4365041617122473
161,Kelly Oubre,6.6610000000000005,14.75,0.452,3.429,4.393,0.78,1.929,5.482,0.35200000000000004,18.679,5.25,1.196,6.4460000000000015,1.518,1.268,0.7140000000000001,1.482,0.957,1.062,-0.226,0.897,0.935,0.036000000000000004,0.61,0.715,-0.226,0.994,0.779,0.155,0.623,-0.6609999999999999,1.144,0.421,0.091,0.489,0,0,0,1,1,1,0,1,4,0,20162.0,26380.0,5766.0,7479.0,0.4332001203214301,0.4353340883352209
76,Donovan Mitchell,8.889,19.603,0.453,3.952,4.603,0.8590000000000001,2.476,6.794,0.364,24.206,3.683,0.698,4.381,4.19,1.048,0.19,2.651,2.011,2.161,-0.243,1.236,1.046,1.26,1.224,1.283,0.16399999999999998,1.915,-0.077,-0.448,-0.205,0.736,0.535,-0.7090000000000001,-1.319,0.622,1,1,1,0,0,0,0,1,4,0,19952.0,26191.0,5701.0,7464.0,0.4323949461456776,0.43304215723509293
123,Jamal Murray,7.0,15.382,0.455,2.873,3.218,0.893,1.909,5.527,0.345,18.782,3.182,0.764,3.945,4.836,1.164,0.29100000000000004,2.255,1.118,1.205,-0.14300000000000002,0.536,0.312,1.255,0.588,0.735,-0.417,1.012,-0.35,-0.369,-0.379,1.073,0.856,-0.4920000000000001,-0.841,0.335,1,1,1,0,0,0,0,1,4,0,20458.0,26883.0,5863.0,7677.0,0.4321412728924188,0.43301329394387
196,Marcus Smart,4.5280000000000005,11.925,0.38,2.0,2.396,0.835,2.415,6.943,0.348,13.472,3.094,0.755,3.849,4.849,1.6230000000000002,0.509,1.679,-0.051,0.423,-1.663,-0.03,-0.124,0.464,1.156,1.348,-0.449,0.128,-0.398,-0.38,-0.418,1.08,2.124,-0.021,-0.147,0.179,1,1,1,0,0,0,0,1,4,0,20088.0,26692.0,5760.0,7635.0,0.4294142796066695,0.43001119820828665
259,Steven Adams,4.517,7.638,0.591,1.862,3.155,0.59,0.017,0.052000000000000005,0.333,10.914,5.983,3.379,9.362,2.431,0.862,1.121,1.483,-0.057,-0.547,1.742,-0.12,0.279,-2.014,-1.535,-1.635,0.053,-0.298,1.179,2.799,1.7919999999999998,-0.183,0.022,1.2990000000000002,0.091,0.16899999999999998,0,0,0,0,0,0,1,1,2,0,21035.0,28018.0,6001.0,8004.0,0.4288218865308952,0.4284898250624777
207,Mikal Bridges,3.2310000000000003,6.2620000000000005,0.516,1.369,1.615,0.848,0.862,2.446,0.35200000000000004,8.692,3.077,0.908,3.985,1.769,1.431,0.6,1.0,-0.665,-0.8590000000000001,0.613,-0.44,-0.537,0.386,-0.588,-0.599,-0.062,-0.6679999999999999,-0.408,-0.194,-0.364,-0.529,1.594,0.175,0.6729999999999999,-0.145,1,0,1,1,1,0,0,1,5,0,20285.0,27199.0,5774.0,7821.0,0.4271965293572572,0.4247149687385068
218,Nerlens Noel,3.164,4.618,0.685,1.364,1.7819999999999998,0.765,0.018000000000000002,0.055,0.333,7.709,3.4360000000000004,1.491,4.927,0.964,1.018,1.491,0.982,-0.6970000000000001,-1.231,1.81,-0.443,-0.449,-0.07400000000000001,-1.534,-1.634,0.053,-0.8320000000000001,-0.211,0.512,0.014,-0.95,0.454,2.0980000000000003,0.695,-0.142,0,0,0,1,0,1,1,1,4,0,26246.0,35363.0,7537.0,10068.0,0.4260091869694363,0.4281170122124397
68,Derrick Favors,4.2,6.778,0.62,0.8,1.378,0.581,0.022,0.156,0.14300000000000002,9.222,6.622000000000001,3.267,9.889,1.6669999999999998,0.556,0.978,1.133,-0.207,-0.742,1.88,-0.809,-0.6629999999999999,-0.921,-1.529,-1.59,-0.12,-0.58,1.528,2.662,2.003,-0.583,-0.8240000000000001,0.99,0.512,0.059,0,0,0,1,0,1,1,1,4,0,25952.0,35074.0,7401.0,10059.0,0.4252613640087831,0.4238831615120275
223,Norman Powell,5.886,11.727,0.502,2.477,2.955,0.838,2.136,5.364,0.398,16.386,3.136,0.523,3.659,1.773,1.25,0.386,1.455,0.591,0.378,0.847,0.279,0.172,0.609,0.843,0.664,1.107,0.613,-0.375,-0.6609999999999999,-0.494,-0.527,1.094,-0.28600000000000003,0.125,0.293,1,0,1,1,1,0,0,1,5,0,21399.0,28932.0,6188.0,8177.0,0.4251654050187757,0.4307692307692308
